snapshot_date,provider_id,provider_name,raw_model_name,canonical_model,model_family,tier,channel_type,unit,price_usd,source_url,captured_at,confidence,method,notes
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1-Terminus,,,,aggregator,per_1m_output_tokens,0.95,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623060+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.1-Terminus,,,,aggregator,per_1m_input_cache_read_tokens,0.13,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623065+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.2-Exp,,,,aggregator,per_1m_input_tokens,0.27,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623071+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.2-Exp,,,,aggregator,per_1m_output_tokens,0.41,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623076+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/DeepSeek-V3.2-Exp,,,,aggregator,per_1m_input_cache_read_tokens,0.27,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623081+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,zai-org/GLM-4.6,,,,aggregator,per_1m_input_tokens,0.6,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623087+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,zai-org/GLM-4.6,,,,aggregator,per_1m_output_tokens,2.2,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623094+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,zai-org/GLM-4.6,,,,aggregator,per_1m_input_cache_read_tokens,0.11,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623099+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,MiniMaxAI/MiniMax-M2,,,,aggregator,per_1m_input_tokens,0.255,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623105+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,MiniMaxAI/MiniMax-M2,,,,aggregator,per_1m_output_tokens,1.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623110+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,MiniMaxAI/MiniMax-M2,,,,aggregator,per_1m_input_cache_read_tokens,0.03,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623114+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-VL-235B-A22B-Instruct,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623121+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-VL-235B-A22B-Instruct,,,,aggregator,per_1m_output_tokens,1.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623126+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,Qwen/Qwen3-VL-235B-A22B-Instruct,,,,aggregator,per_1m_input_cache_read_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623130+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,moonshotai/Kimi-K2-Thinking,,,,aggregator,per_1m_input_tokens,0.6,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623138+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,moonshotai/Kimi-K2-Thinking,,,,aggregator,per_1m_output_tokens,2.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623143+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,moonshotai/Kimi-K2-Thinking,,,,aggregator,per_1m_input_cache_read_tokens,0.6,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623148+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623154+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash,,,,aggregator,per_1m_output_tokens,2.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623159+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash,,,,aggregator,per_1m_input_cache_read_tokens,0.03,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623164+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-preview-202509,,,,aggregator,per_1m_input_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623170+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-preview-202509,,,,aggregator,per_1m_output_tokens,2.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623175+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-preview-202509,,,,aggregator,per_1m_input_cache_read_tokens,0.03,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623179+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite,,,,aggregator,per_1m_input_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623185+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite,,,,aggregator,per_1m_output_tokens,0.39999999999999997,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623190+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite,,,,aggregator,per_1m_input_cache_read_tokens,0.01,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623195+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite-preview-202509,,,,aggregator,per_1m_input_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623200+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite-preview-202509,,,,aggregator,per_1m_output_tokens,0.39999999999999997,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623205+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,google/gemini-2.5-flash-lite-preview-202509,,,,aggregator,per_1m_input_cache_read_tokens,0.01,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623210+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623216+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623221+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1,,,,aggregator,per_1m_input_cache_read_tokens,0.125,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623226+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-chat,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623232+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-chat,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623237+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-chat,,,,aggregator,per_1m_input_cache_read_tokens,0.125,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623242+00:00,high,json-api,
